gap_mm,wall_thickness_mm,pipe_radius_m,contact_fraction,force_n
0.0,3.0,0.30,0.25,156.0
0.0,3.0,0.30,0.50,312.0
0.0,3.0,0.30,1.00,520.0
0.0,3.0,0.55,0.25,175.5
0.0,3.0,0.55,0.50,351.0
0.0,3.0,0.55,1.00,585.0
0.0,3.0,1.00,0.25,195.0
0.0,3.0,1.00,0.50,390.0
0.0,3.0,1.00,1.00,650.0
1.0,3.0,0.30,0.25,78.0
1.0,3.0,0.30,0.50,156.0
1.0,3.0,0.30,1.00,260.0
1.0,3.0,0.55,0.25,87.8
1.0,3.0,0.55,0.50,175.5
1.0,3.0,0.55,1.00,292.5
1.0,3.0,1.00,0.25,97.5
1.0,3.0,1.00,0.50,195.0
1.0,3.0,1.00,1.00,325.0
3.0,3.0,0.30,0.25,26.4
3.0,3.0,0.30,0.50,52.8
3.0,3.0,0.30,1.00,88.0
3.0,3.0,0.55,0.25,29.7
3.0,3.0,0.55,0.50,59.4
3.0,3.0,0.55,1.00,99.0
3.0,3.0,1.00,0.25,33.0
3.0,3.0,1.00,0.50,66.0
3.0,3.0,1.00,1.00,110.0
0.0,5.0,0.30,0.25,216.0
0.0,5.0,0.30,0.50,432.0
0.0,5.0,0.30,1.00,720.0
0.0,5.0,0.55,0.25,243.0
0.0,5.0,0.55,0.50,486.0
0.0,5.0,0.55,1.00,810.0
0.0,5.0,1.00,0.25,270.0
0.0,5.0,1.00,0.50,540.0
0.0,5.0,1.00,1.00,900.0
1.0,5.0,0.30,0.25,108.0
1.0,5.0,0.30,0.50,216.0
1.0,5.0,0.30,1.00,360.0
1.0,5.0,0.55,0.25,121.5
1.0,5.0,0.55,0.50,243.0
1.0,5.0,0.55,1.00,405.0
1.0,5.0,1.00,0.25,135.0
1.0,5.0,1.00,0.50,270.0
1.0,5.0,1.00,1.00,450.0
3.0,5.0,0.30,0.25,36.0
3.0,5.0,0.30,0.50,72.0
3.0,5.0,0.30,1.00,120.0
3.0,5.0,0.55,0.25,40.5
3.0,5.0,0.55,0.50,81.0
3.0,5.0,0.55,1.00,135.0
3.0,5.0,1.00,0.25,45.0
3.0,5.0,1.00,0.50,90.0
3.0,5.0,1.00,1.00,150.0
0.0,10.0,0.30,0.25,216.0
0.0,10.0,0.30,0.50,432.0
0.0,10.0,0.30,1.00,720.0
0.0,10.0,0.55,0.25,243.0
0.0,10.0,0.55,0.50,486.0
0.0,10.0,0.55,1.00,810.0
0.0,10.0,1.00,0.25,270.0
0.0,10.0,1.00,0.50,540.0
0.0,10.0,1.00,1.00,900.0
1.0,10.0,0.30,0.25,108.0
1.0,10.0,0.30,0.50,216.0
1.0,10.0,0.30,1.00,360.0
1.0,10.0,0.55,0.25,121.5
1.0,10.0,0.55,0.50,243.0
1.0,10.0,0.55,1.00,405.0
1.0,10.0,1.00,0.25,135.0
1.0,10.0,1.00,0.50,270.0
1.0,10.0,1.00,1.00,450.0
3.0,10.0,0.30,0.25,36.0
3.0,10.0,0.30,0.50,72.0
3.0,10.0,0.30,1.00,120.0
3.0,10.0,0.55,0.25,40.5
3.0,10.0,0.55,0.50,81.0
3.0,10.0,0.55,1.00,135.0
3.0,10.0,1.00,0.25,45.0
3.0,10.0,1.00,0.50,90.0
3.0,10.0,1.00,1.00,150.0
